id,city,hour,is_workday,weather,temp_1,temp_2,wind,y
1,0,22,1,2,3.0,0.7,0,15
2,0,10,1,1,21.0,24.9,3,48
3,0,0,1,1,25.3,27.4,0,21
4,0,7,0,1,15.7,16.2,0,11
5,1,10,1,1,21.1,25.0,2,39
6,1,0,1,1,20.4,18.2,0,12
7,0,0,1,1,13.0,13.3,2,11
8,0,15,1,1,29.5,30.9,2,67
9,0,15,1,2,10.4,10.6,3,77
10,1,4,1,3,17.4,18.0,3,2
11,1,0,1,1,14.9,15.3,2,6
12,1,8,0,1,25.0,28.1,0,25
13,0,21,0,2,8.7,8.8,0,52
14,0,5,1,3,14.5,14.9,1,8
15,1,3,1,1,25.4,28.6,1,0
16,0,23,0,2,24.2,26.2,0,53
17,1,14,0,1,7.0,5.0,1,49
18,1,17,1,1,7.5,3.5,2,75
19,1,1,1,1,18.0,18.7,3,5
20,1,7,0,2,22.8,24.8,1,13
21,0,9,0,1,24.5,26.6,0,67
22,0,16,1,3,11.0,11.2,2,76
23,0,5,1,2,13.3,13.7,0,10
24,0,8,1,1,-0.3,-3.8,1,113
25,0,22,1,1,18.5,19.2,0,43
26,1,0,1,1,20.9,19.8,1,11
27,0,6,1,2,8.1,4.1,2,29
28,0,5,1,1,2.5,-1.8,2,7
29,0,8,1,1,22.3,22.2,0,187
30,1,22,1,1,28.1,32.4,2,42
31,0,4,0,1,6.8,3.8,2,0
32,0,7,1,1,25.3,28.4,0,119
33,1,14,1,2,22.3,24.2,3,51
34,0,5,1,2,5.7,4.6,0,8
35,1,21,0,1,26.4,28.6,2,62
36,1,16,1,1,11.3,11.5,1,60
37,1,20,1,1,1.7,-0.7,0,32
38,1,1,0,2,24.7,26.8,0,22
39,1,9,0,1,15.8,16.3,1,53
40,1,12,1,1,15.0,15.4,4,59
41,1,2,0,2,11.1,11.3,2,9
42,0,18,0,3,-0.1,-3.6,0,30
43,1,5,1,3,2.7,2.4,0,1
44,1,3,1,1,1.5,-1.9,1,0
45,0,1,1,1,3.7,-0.6,1,1
46,0,13,0,2,9.5,9.6,1,90
47,1,19,0,1,18.7,19.4,2,84
48,0,19,1,1,11.9,12.2,0,106
49,0,18,1,1,8.3,6.3,1,128
50,1,15,1,1,35.1,41.9,1,38
51,0,6,0,1,10.7,10.9,1,5
52,0,15,0,2,21.6,24.5,3,167
53,1,14,0,2,29.8,32.2,2,100
54,0,17,1,3,8.5,8.5,0,73
55,1,15,1,1,26.1,28.3,1,52
56,0,4,0,1,2.2,1.9,0,0
57,1,6,1,1,21.6,23.5,0,24
58,1,16,1,3,11.6,11.9,1,12
59,0,13,0,1,13.3,13.7,1,170
60,1,0,0,2,20.4,20.2,0,51
61,0,21,1,1,13.5,13.9,1,83
62,0,2,0,3,21.2,21.1,1,10
63,1,18,1,2,-0.1,-5.6,2,46
64,0,9,1,1,5.3,2.1,2,82
65,1,7,1,1,6.4,6.3,0,75
66,1,2,1,1,11.6,11.9,1,1
67,1,22,1,1,22.3,25.2,2,46
68,0,2,0,2,25.3,27.4,0,25
69,1,13,1,1,33.1,42.7,2,30
70,0,5,1,1,20.0,20.8,1,10
71,0,10,1,3,6.1,2.0,3,23
72,1,15,1,2,0.0,-2.5,0,14
73,0,7,1,1,20.3,24.1,2,129
74,1,17,0,1,9.2,7.3,2,54
75,0,9,1,2,5.2,3.0,1,72
76,0,12,0,3,26.4,29.6,0,138
77,0,22,1,1,23.5,23.5,0,52
78,0,0,1,1,24.7,26.8,0,10
79,0,8,1,1,2.9,-1.4,2,130
80,0,22,0,3,3.7,1.4,0,13
81,0,21,0,3,23.0,25.0,3,35
82,0,13,1,1,6.3,3.2,1,33
83,0,18,1,1,22.1,25.0,2,209
84,1,17,1,1,34.8,43.6,2,124
85,0,5,1,1,25.9,29.1,1,11
86,1,22,1,1,13.2,13.6,2,42
87,0,0,1,2,20.1,20.9,0,14
88,0,16,1,3,4.4,-0.8,3,2
89,0,11,1,1,31.0,35.5,1,47
90,0,13,1,2,9.6,9.7,2,25
91,0,19,1,2,7.4,7.4,0,66
92,0,6,1,2,20.4,22.2,0,36
93,1,23,1,2,7.3,4.3,2,15
94,1,19,1,1,26.2,29.4,1,118
95,1,12,0,2,20.6,21.5,0,122
96,1,23,1,1,27.1,30.3,0,21
97,0,8,0,2,8.7,7.8,0,31
98,1,14,1,2,25.2,28.3,3,36
99,1,1,0,1,26.8,29.0,0,23
100,0,23,1,1,29.8,34.2,1,33
101,0,9,1,1,11.4,11.7,1,84
102,1,21,1,3,12.5,12.8,2,22
103,1,7,0,3,2.1,0.8,0,1
104,0,10,1,2,19.8,20.5,1,56
105,1,10,0,1,31.1,32.6,1,76
106,0,9,1,1,27.7,32.0,1,89
107,1,6,0,1,10.6,10.8,3,1
108,0,23,1,1,24.5,26.6,2,32
109,0,10,1,2,12.4,12.7,2,41
110,1,11,1,1,1.9,-4.4,4,15
111,0,12,0,1,31.7,35.2,0,124
112,0,6,0,2,22.2,23.1,1,7
113,1,21,0,1,21.2,24.1,0,68
114,0,10,1,2,24.6,27.7,1,58
115,0,5,0,1,4.9,0.7,2,0
116,1,10,0,1,14.8,15.2,3,83
117,0,17,1,2,30.4,31.9,1,164
118,1,17,1,1,30.8,34.3,0,163
119,1,5,1,2,9.4,9.5,0,4
120,1,0,1,1,25.5,29.7,2,14
121,0,6,0,2,12.5,12.8,1,5
122,1,20,1,2,24.6,25.7,4,51
123,0,18,1,1,34.3,37.0,1,196
124,1,12,1,1,13.6,14.0,2,36
125,1,3,0,3,7.1,6.1,0,1
126,1,7,1,1,-3.1,-7.8,1,21
127,0,2,1,1,24.7,27.8,1,1
128,1,14,1,2,23.3,25.3,1,53
129,1,21,1,2,8.1,6.1,1,46
130,0,0,1,1,24.6,27.7,0,15
131,1,3,0,1,4.5,0.3,2,4
132,1,12,1,3,7.8,5.8,1,24
133,0,21,0,2,12.9,13.2,2,17
134,1,14,0,1,35.2,43.0,0,70
135,1,15,0,2,16.8,17.4,1,105
136,1,2,0,1,1.9,1.6,0,9
137,1,22,0,1,15.1,15.6,0,34
138,0,23,1,2,4.0,-0.2,2,17
139,0,8,1,1,12.1,12.4,0,189
140,0,0,0,1,4.3,4.1,0,27
141,1,22,1,1,1.8,-0.6,0,12
142,0,13,0,1,5.6,1.5,2,44
143,0,5,1,2,13.4,13.8,1,5
144,0,21,1,3,21.8,22.7,1,72
145,0,4,0,2,8.0,8.0,0,2
146,0,11,1,1,25.1,27.2,1,68
147,1,8,0,1,16.0,16.6,1,25
148,0,18,1,3,16.0,16.6,5,94
149,0,16,1,2,8.2,5.2,2,29
150,0,23,1,1,14.2,14.6,2,23
151,1,10,1,1,13.8,14.2,1,41
152,0,20,1,1,15.9,16.4,1,72
153,1,17,1,1,10.1,10.2,1,81
154,1,13,1,2,16.1,16.7,3,67
155,0,10,0,1,17.9,18.6,0,104
156,0,9,1,1,14.7,15.1,2,86
