總日照 (小時)  - 京士柏
Total Bright Sunshine (hours) - King's Park
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2020,1,1,0.2,C
2020,1,2,3.6,C
2020,1,3,8.9,C
2020,1,4,8.6,C
2020,1,5,6.6,C
2020,1,6,6.7,C
2020,1,7,8.0,C
2020,1,8,8.1,C
2020,1,9,5.0,C
2020,1,10,6.1,C
2020,1,11,7.0,C
2020,1,12,7.9,C
2020,1,13,2.5,C
2020,1,14,9.4,C
2020,1,15,5.8,C
2020,1,16,7.2,C
2020,1,17,0.1,C
2020,1,18,6.5,C
2020,1,19,1.1,C
2020,1,20,2.9,C
2020,1,21,4.9,C
2020,1,22,4.3,C
2020,1,23,7.6,C
2020,1,24,4.6,C
2020,1,25,0.9,C
2020,1,26,1.5,C
2020,1,27,2.7,C
2020,1,28,4.4,C
2020,1,29,7.2,C
2020,1,30,10.2,C
2020,1,31,10.2,C
2020,2,1,9.1,C
2020,2,2,1.6,C
2020,2,3,1.9,C
2020,2,4,0.6,C
2020,2,5,0.2,C
2020,2,6,1.5,C
2020,2,7,0.5,C
2020,2,8,0.1,C
2020,2,9,0.1,C
2020,2,10,0.3,C
2020,2,11,0.0,C
2020,2,12,4.9,C
2020,2,13,0.3,C
2020,2,14,1.7,C
2020,2,15,0.8,C
2020,2,16,0.9,C
2020,2,17,10.3,C
2020,2,18,10.5,C
2020,2,19,7.6,C
2020,2,20,6.7,C
2020,2,21,10.6,C
2020,2,22,10.5,C
2020,2,23,6.7,C
2020,2,24,1.5,C
2020,2,25,3.6,C
2020,2,26,10.4,C
2020,2,27,4.1,C
2020,2,28,5.5,C
2020,2,29,5.7,C
2020,3,1,10.0,C
2020,3,2,0.0,C
2020,3,3,0.4,C
2020,3,4,0.0,C
2020,3,5,3.4,C
2020,3,6,1.8,C
2020,3,7,2.2,C
2020,3,8,0.4,C
2020,3,9,1.3,C
2020,3,10,8.5,C
2020,3,11,0.9,C
2020,3,12,0.0,C
2020,3,13,3.4,C
2020,3,14,7.3,C
2020,3,15,5.4,C
2020,3,16,8.1,C
2020,3,17,0.6,C
2020,3,18,0.0,C
2020,3,19,0.3,C
2020,3,20,0.2,C
2020,3,21,0.4,C
2020,3,22,9.7,C
2020,3,23,10.7,C
2020,3,24,6.3,C
2020,3,25,4.3,C
2020,3,26,2.9,C
2020,3,27,5.9,C
2020,3,28,1.6,C
2020,3,29,0.2,C
2020,3,30,0.0,C
2020,3,31,0.0,C
2020,4,1,0.0,C
2020,4,2,0.0,C
2020,4,3,0.0,C
2020,4,4,1.2,C
2020,4,5,0.0,C
2020,4,6,0.0,C
2020,4,7,0.7,C
2020,4,8,4.3,C
2020,4,9,9.8,C
2020,4,10,10.5,C
2020,4,11,0.3,C
2020,4,12,9.5,C
2020,4,13,10.6,C
2020,4,14,3.5,C
2020,4,15,11.0,C
2020,4,16,11.1,C
2020,4,17,10.6,C
2020,4,18,5.2,C
2020,4,19,9.7,C
2020,4,20,8.7,C
2020,4,21,5.5,C
2020,4,22,0.0,C
2020,4,23,0.0,C
2020,4,24,0.1,C
2020,4,25,0.7,C
2020,4,26,7.2,C
2020,4,27,7.9,C
2020,4,28,11.3,C
2020,4,29,10.6,C
2020,4,30,10.3,C
2020,5,1,7.1,C
2020,5,2,10.4,C
2020,5,3,11.3,C
2020,5,4,9.8,C
2020,5,5,8.8,C
2020,5,6,4.8,C
2020,5,7,3.9,C
2020,5,8,3.5,C
2020,5,9,3.5,C
2020,5,10,8.5,C
2020,5,11,6.9,C
2020,5,12,3.1,C
2020,5,13,2.3,C
2020,5,14,3.8,C
2020,5,15,7.4,C
2020,5,16,7.8,C
2020,5,17,9.5,C
2020,5,18,1.4,C
2020,5,19,7.5,C
2020,5,20,1.6,C
2020,5,21,0.0,C
2020,5,22,0.1,C
2020,5,23,0.0,C
2020,5,24,2.8,C
2020,5,25,1.2,C
2020,5,26,2.0,C
2020,5,27,3.7,C
2020,5,28,2.4,C
2020,5,29,3.6,C
2020,5,30,0.0,C
2020,5,31,1.3,C
2020,6,1,5.5,C
2020,6,2,2.0,C
2020,6,3,5.4,C
2020,6,4,8.1,C
2020,6,5,6.2,C
2020,6,6,0.3,C
2020,6,7,0.0,C
2020,6,8,0.0,C
2020,6,9,2.0,C
2020,6,10,7.5,C
2020,6,11,10.1,C
2020,6,12,10.2,C
2020,6,13,5.3,C
