contain_IP,is_long,is_tinyurl,contain_at,contain_double_slash,contain_dash,contain_subdomain,is_SSL,with_long_history,contain_icon,contain_ext_domain,contain_email_to,allow_right_click,contain_pop_up_window,contain_Iframe,has_DNSRecord,traffic,google_rank,y
1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,0
0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,1.0,,1.0,0.0,1
0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,0
1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,1.0,0.0,1.0,,1.0,1.0,1.0,,0.0,0
0.0,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,1.0,0.0,0
1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,1
1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,0.0,0
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,0
1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.0,,0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,,1.0,1.0,1.0,,1.0,1.0,0.0,0.0,1.0,0
1.0,0.0,1.0,1.0,,0.0,1.0,0.0,,,1.0,1.0,1.0,0.0,1.0,,0.0,0.0,1
0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,1
1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,1.0,,,,0
1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,1
0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.0,0.0,1
